epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.33707,0,40.459,0,0,0,0,0,0,39.1212,0,0.00010002,0.00010002,0.00010002
2,16.5601,0,38.9012,0,0,0,0,0,0,39.0386,0,0.000214565,0.000214565,0.000214565
3,24.7612,0,36.0329,0,0,0,0,0,0,38.7923,0,0.000326799,0.000326799,0.000326799
4,32.9025,0,33.6353,0,0,0,0,0,0,39.9343,0,0.000436722,0.000436722,0.000436722
5,41.0761,0,31.4106,0,0,0,0,0,0,178.714,0,0.000544336,0.000544336,0.000544336
6,49.2246,0,29.9558,0,0,0,0,0,0,374.885,0,0.000649638,0.000649638,0.000649638
7,57.4497,0,28.7309,0,0,0,0,0,0,46008.7,0,0.00075263,0.00075263,0.00075263
8,65.8028,0,27.4108,0,0,0,0,0,0,272684,0,0.000853312,0.000853312,0.000853312
9,73.9366,0,26.6058,0,0,0,0,0,0,40.621,0,0.000951684,0.000951684,0.000951684
10,82.0955,0,26.3924,0,0,0,0,0,0,21.3294,0,0.00104774,0.00104774,0.00104774
11,90.2109,0,25.2641,0,0,0,0,0,0,18.7064,0,0.00114149,0.00114149,0.00114149
12,98.3899,0,24.4476,0,0,0,0,0,0,17.5811,0,0.00123293,0.00123293,0.00123293
13,106.514,0,23.5353,0,0,0,0,0,0,17.4162,0,0.00132206,0.00132206,0.00132206
14,114.632,0,22.6211,0,0,0,0,0,0,18.0201,0,0.00140888,0.00140888,0.00140888
15,122.783,0,21.9673,0,0,0,0,0,0,17.6109,0,0.00143595,0.00143595,0.00143595
16,130.929,0,21.156,0,0,0,0,0,0,21.116,0,0.00141945,0.00141945,0.00141945
17,139.056,0,20.2582,0,0,0,0,0,0,19.4289,0,0.00140295,0.00140295,0.00140295
18,147.206,0,20.0162,0,0,0,0,0,0,18.8032,0,0.00138644,0.00138644,0.00138644
19,155.348,0,19.701,0,0,0,0,0,0,16.7225,0,0.00136994,0.00136994,0.00136994
20,163.53,0,18.3123,0,0,0,0,0,0,17.8838,0,0.00135344,0.00135344,0.00135344
21,171.605,0,17.6324,0,0,0,0,0,0,17.6422,0,0.00133693,0.00133693,0.00133693
22,179.722,0,16.8897,0,0,0,0,0,0,134.522,0,0.00132043,0.00132043,0.00132043
23,187.845,0,16.2588,0,0,0,0,0,0,22.4679,0,0.00130393,0.00130393,0.00130393
24,195.979,0,15.5706,0,0,0,0,0,0,11.8874,0,0.00128742,0.00128742,0.00128742
25,204.154,0,14.856,0,0,0,0,0,0,13.0176,0,0.00127092,0.00127092,0.00127092
26,212.367,0,14.2284,0,0,0,0,0,0,13.0208,0,0.00125442,0.00125442,0.00125442
27,220.676,0,13.64,0,0,0,0,0,0,12.5091,0,0.00123791,0.00123791,0.00123791
28,228.783,0,13.0235,0,0,0,0,0,0,11.9546,0,0.00122141,0.00122141,0.00122141
29,236.93,0,12.4345,0,0,0,0,0,0,11.5675,0,0.00120491,0.00120491,0.00120491
30,245.079,0,11.9401,0,0,0,0,0,0,10.9515,0,0.0011884,0.0011884,0.0011884
