epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,391.116,1.1413,1.10639,1.00057,0.85876,0.88481,0.88881,0.55969,1.34321,0.92307,1.11064,0.000848969,0.000848969,0.000848969
43,401.293,1.14422,1.00801,0.99882,0.98217,0.76667,0.87614,0.54874,1.44511,0.91565,1.14167,0.000834822,0.000834822,0.000834822
44,411.434,1.24553,1.12076,1.01729,0.86567,0.84003,0.8926,0.53334,1.41872,0.8668,1.12228,0.000820675,0.000820675,0.000820675
45,421.586,1.10579,0.94525,0.99259,0.8907,0.84835,0.90072,0.53926,1.39752,0.85667,1.10802,0.000806528,0.000806528,0.000806528
46,431.717,1.12355,0.93672,1.02294,0.91407,0.91582,0.92908,0.54902,1.33739,0.83425,1.08389,0.00079238,0.00079238,0.00079238
47,441.876,1.14311,0.90487,1.01639,0.8797,0.92126,0.92676,0.52788,1.38026,0.84739,1.10781,0.000778233,0.000778233,0.000778233
48,452.763,1.05341,0.87714,0.95479,0.86934,0.92222,0.89389,0.50592,1.43064,0.86354,1.11611,0.000764086,0.000764086,0.000764086
49,464.058,0.98007,0.87912,0.94748,0.86058,0.91238,0.895,0.51714,1.42883,0.85869,1.1184,0.000749939,0.000749939,0.000749939
50,478.242,1.05892,0.80228,0.98363,0.87131,0.91887,0.91222,0.54865,1.35067,0.81432,1.09665,0.000735792,0.000735792,0.000735792
51,497.072,1.08347,0.86841,0.99339,0.92498,0.91486,0.94765,0.60019,1.31669,0.79667,1.08572,0.000721645,0.000721645,0.000721645
52,512.331,0.96755,1.21212,0.82381,0.92688,0.91702,0.96294,0.58796,1.28182,0.78807,1.09249,0.000707498,0.000707498,0.000707498
53,527.201,1.08243,0.81189,0.96561,0.93056,0.91744,0.96294,0.58828,1.25948,0.7657,1.08729,0.000693351,0.000693351,0.000693351
54,540.494,1.09511,0.87797,0.97127,0.96142,0.93871,0.97722,0.61537,1.215,0.76851,1.0676,0.000679204,0.000679204,0.000679204
55,554.263,1.06347,0.86047,0.9305,0.97053,0.92222,0.97487,0.62635,1.24197,0.78813,1.06899,0.000665057,0.000665057,0.000665057
56,567.429,0.94389,0.79683,0.90686,0.97657,0.91832,0.95076,0.61237,1.25244,0.76533,1.06392,0.000650909,0.000650909,0.000650909
57,580.441,1.14253,0.83582,0.99761,0.96787,0.91494,0.95552,0.61215,1.26051,0.77111,1.06183,0.000636762,0.000636762,0.000636762
58,592.85,1.1056,0.83867,0.95483,0.97455,0.89571,0.94312,0.61062,1.25772,0.75751,1.05864,0.000622615,0.000622615,0.000622615
59,605.523,1.07597,0.86027,1.00933,0.9307,0.89223,0.91318,0.59024,1.27282,0.75201,1.06527,0.000608468,0.000608468,0.000608468
60,619.633,1.10925,0.83634,0.95734,0.93613,0.87778,0.91146,0.56686,1.29923,0.78444,1.07394,0.000594321,0.000594321,0.000594321
61,633.605,1.14703,0.84341,0.96725,0.96814,0.9,0.93893,0.56187,1.2966,0.77499,1.07801,0.000580174,0.000580174,0.000580174
62,648.054,1.03577,0.77931,0.93438,0.98981,0.89908,0.96201,0.59663,1.25847,0.75161,1.06456,0.000566027,0.000566027,0.000566027
63,663.838,1.02888,0.76014,0.94517,0.97911,0.89364,0.95828,0.60306,1.21707,0.75564,1.04122,0.00055188,0.00055188,0.00055188
64,681.876,1.07855,0.80235,0.98503,0.96575,0.89296,0.95853,0.61298,1.19782,0.72008,1.03113,0.000537733,0.000537733,0.000537733
65,704.885,0.96483,0.75132,0.93744,0.9661,0.89348,0.95828,0.60111,1.19623,0.708,1.03107,0.000523586,0.000523586,0.000523586
66,722.414,0.93836,0.71588,0.92631,0.97152,0.9,0.96117,0.60773,1.18066,0.70921,1.03042,0.000509438,0.000509438,0.000509438
67,739.919,0.77063,0.99469,0.79441,0.97191,0.9,0.96265,0.59503,1.17801,0.70158,1.03807,0.000495291,0.000495291,0.000495291
68,758.064,0.90297,0.74624,0.94924,0.97052,0.9,0.95875,0.60227,1.18504,0.68866,1.04888,0.000481144,0.000481144,0.000481144
69,774.513,0.90723,0.68343,0.91942,0.97708,0.9,0.96011,0.60575,1.20218,0.68689,1.05653,0.000466997,0.000466997,0.000466997
70,789.978,0.96961,0.70619,0.93731,0.94684,0.87556,0.92565,0.59159,1.24289,0.68599,1.06599,0.00045285,0.00045285,0.00045285
71,807.863,1.02538,0.7355,0.96088,0.94529,0.88097,0.94095,0.60991,1.29022,0.70605,1.0709,0.000438703,0.000438703,0.000438703
72,825.136,0.85475,0.70907,0.90828,0.98977,0.86898,0.94094,0.59374,1.30212,0.71421,1.07395,0.000424556,0.000424556,0.000424556
73,844.63,0.86661,0.7171,0.93212,0.99054,0.87017,0.95649,0.59865,1.2878,0.71711,1.07286,0.000410409,0.000410409,0.000410409
74,860.679,0.86896,0.68119,0.8919,0.91542,0.91668,0.96294,0.59485,1.25024,0.70312,1.07078,0.000396262,0.000396262,0.000396262
75,875.661,0.85258,0.68347,0.96135,0.91941,0.91655,0.95567,0.59079,1.23588,0.67696,1.06906,0.000382115,0.000382115,0.000382115
