epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87626,0,40.4775,0,0,0,0,0,0,39.1645,0,0.00010002,0.00010002,0.00010002
2,15.8688,0,38.9012,0,0,0,0,0,0,39.2,0,0.000214565,0.000214565,0.000214565
3,23.67,0,35.9889,0,0,0,0,0,0,39.2136,0,0.000326799,0.000326799,0.000326799
4,31.3215,0,33.7606,0,0,0,0,0,0,40.1925,0,0.000436722,0.000436722,0.000436722
5,39.0453,0,31.644,0,0,0,0,0,0,475.947,0,0.000544336,0.000544336,0.000544336
6,46.7087,0,30.182,0,0,0,0,0,0,405.469,0,0.000649638,0.000649638,0.000649638
